"Country","Latitude","Longitude"
"Gabon",-0.586446577901781,11.7887417210203
"Gambia",13.4509534899632,-15.3963233373991
"Georgia",42.1729419848756,43.5242560266282
"Germany",51.050577200392,10.3643715892926
"Ghana",7.94769971258465,-1.21698964043326
"Gibraltar",36.1408,-5.3536
"Greece",39.0479596036559,22.9642854423063
"Greenland",73.0812153456909,-41.8136722836678
"Grenada",12.1172424375073,-61.6822117719322
"Guadeloupe",16.2650,-61.5510
"Guatemala",15.6901195768513,-90.3672121179679
"Guinea Bissau",11.8037,-15.1804
"Guinea",10.4373187488031,-10.9342459875925
"Guyana",4.78964290760043,-58.9799209927187
"Haiti",18.9345751364595,-72.6867625279039
"Holy See",41.9029,12.4534
"Honduras",14.8290802781538,-86.6176147864756
"Hungary",47.1659125111368,19.3792677656756
"Iceland",64.9978841276929,-18.580033661634
"India",22.7766430396087,79.5639109318103
"Indonesia",-2.26406781358278,117.179729805139
"Iran",32.5273359415473,54.4408756038135
"Iraq",33.0096664024512,43.7736761003991
"Ireland",53.1625330764791,-8.14571833620769
"Isle Of Man",54.2361,-4.5481
"Israel",31.4329786422529,34.9911381968013
"Italy",42.7156861458039,12.2010485047318
"Jamaica",18.1574508726766,-77.3143958314286
"Japan",37.4608804755929,137.660006265981
"Jordan",31.2387026418374,36.7576835839012
"Kazakhstan",48.361670914496,67.2455026221889
"Kenya",0.599448836506536,37.7962282671581
"Kiribati",0.892900808860091,-167.91969916077
"Kuwait",29.3332785751823,47.5877796783928
"Kyrgyzstan",41.4743103595432,74.5090861383837
"Laos",18.4874182025194,103.774934403725
"Latvia",56.8595216457842,24.920447008392
"Lebanon",33.9215988682258,35.8776957956409
"Lesotho",-29.5790637000742,28.2289621090949
"Liberia",6.45195766531815,-9.31983261845304
"Libya",27.0167163927208,18.0667932182187
"Liechtenstein",47.136626593863,9.53575260107639
"Lithuania",55.3237700619849,23.8970998775749
"Luxembourg",49.7667823716718,6.07215816476923
"Macedonia",NA,NA
"Madagascar",-19.3164836985714,46.7428900543881
"Malawi",-13.2044253711777,34.2828475261884
"Malaysia",3.81114043306724,109.699342970706
"Maldives",3.72846117440526,73.4570805481231
"Mali",17.315139014512,-3.59047300916167
"Malta",35.9214721226709,14.405376786768
"Marshall Islands",NA,NA
"Martinique",14.6415,-61.0242
"Mauritania",20.2206937677679,-10.3699167351723
"Mauritius",-20.2776195850018,57.57126469549
"Mayotte",NA,NA
"Mexico",23.9241551848632,-102.170985323958
"Micronesia",7.53089208957801,153.322718519771
"Moldova",47.1871728367014,28.4656191680334
"Monaco",43.7527482412042,7.40627450663944
"Mongolia",46.9562038905525,103.123972161914
"Montenegro",42.7880033111823,19.2386306669002
"Montserrat",16.7394124160323,-62.1851850290023
"Morocco",29.7668591371828,-8.72784775206801
"Mozambique",-17.19585753703,35.6027277441924
"Myanmar",21.1129068888835,96.4947556040562
"Namibia",-22.0696900138551,17.195019957489
"Nauru",-0.519126378457796,166.932568249309
"Nepal",28.2580425139521,83.9468444253475
"Netherlands",52.2269196009093,4.99154833318456
"New Caledonia",-21.3008860680882,165.679742576013
